,Equity,Issue price,Open,Close,Listing Gains (%ge),CMP,Current gains %ge,Chg Open to Close,% Chg Open to Close,Date,NiftyOpen,NiftyHigh,NiftyLow,NiftyClose,Volume,INR,Day
53,Sungold Media &,10.0,9.75,9.71,-2.9,6.84,-31.6,-0.03999999999999915,-0.41025641025640147,2020-08-27,11755.4,11762.25,11692.65,11709.45,1019748805,73.9162,4
54,TCNS Clothing C,716.0,715.0,657.8,-8.13,503.55,-29.67,-57.200000000000045,-8.000000000000005,2020-07-30,11361.95,11403.95,11207.9,11231.3,896041243,74.8872,4
55,Supershakti Met,375.0,377.0,188.25,-49.8,275.0,-26.67,-188.75,-50.06631299734748,2020-07-30,11361.95,11403.95,11207.9,11231.3,896041243,74.8872,4
56,U. H. Zaveri,36.0,25.65,25.65,-28.75,8.5,-76.39,0.0,0.0,2020-05-22,9263.25,9344.05,9165.45,9226.8,1318601668,75.868,5
57,Indostar Capita,572.0,600.6,585.5,2.36,317.4,-44.51,-15.100000000000023,-2.514152514152518,2020-05-21,9265.75,9366.75,9243.8,9299.8,1335073201,75.5041,4
58,Ridings Consult,18.0,18.5,18.0,0.0,8.35,-53.61,-0.5,-2.7027027027027026,2020-03-26,8523.1,8832.25,8382.85,8732.1,1424521253,75.1612,4
59,Active Clothing,65.0,64.95,65.65,1.0,10.05,-84.54,0.7000000000000028,1.0777521170130913,2020-03-26,8523.1,8832.25,8382.85,8732.1,1424521253,75.1612,4
60,Bharat Dynamics,428.0,360.0,390.7,-8.71,331.5,-22.55,30.69999999999999,8.527777777777775,2020-03-23,8057.35,8272.35,7694.2,7719.1,1228948752,76.16199999999999,1
61,HG Infra Engg,270.0,270.0,270.05,0.02,280.15,3.76,0.05000000000001137,0.01851851851852273,2020-03-09,10877.5,10886.3,10442.15,10583.05,2548062704,74.16199999999999,1
62,Aster DM Health,190.0,182.0,179.85,-5.34,134.65,-29.13,-2.1500000000000057,-1.1813186813186844,2020-02-26,11859.1,11902.15,11756.65,11790.1,1104078933,71.6501,3
63,A and M Jumbo B,65.0,65.0,16.64,-74.4,9.1,-86.0,-48.36,-74.4,2020-02-12,12288.15,12362.0,12282.2,12327.7,932387054,71.3162,3
64,Vasa Retail and,30.0,51.8,36.0,20.0,6.0,-80.0,-15.799999999999997,-30.501930501930495,2020-02-06,12243.95,12295.2,12211.6,12273.7,1013558973,71.1483,4
65,Shree Ram Proti,31.0,28.95,32.55,5.0,28.5,-8.06,3.599999999999998,12.435233160621754,2020-02-05,12121.05,12219.95,12071.9,12212.0,1096111366,71.154,3
66,Newgen Software,245.0,256.0,253.0,3.27,272.6,11.27,-3.0,-1.171875,2020-01-29,12262.75,12312.6,12251.3,12276.95,863864153,71.2817,3
67,Apollo Micro Sy,275.0,478.0,454.1,65.13,94.05,-65.8,-23.899999999999977,-4.999999999999996,2020-01-22,12335.1,12341.1,12213.65,12230.85,1078861020,71.1278,3
68,Moksh Ornaments,37.0,44.4,44.4,20.0,43.0,16.22,0.0,0.0,2020-01-03,12359.7,12368.6,12292.4,12328.6,671669795,71.7758,5
69,Ajooni Biotech,30.0,36.0,32.4,8.0,30.0,0.0,-3.6000000000000014,-10.000000000000004,2020-01-02,12294.95,12387.65,12292.2,12380.5,645781490,71.3897,4
